date,Agave victoriae-reginae 1,Agave victoriae-reginae 2,Aristaloe aristata 1,Aristaloe aristata 2,Clorophytum comosum 1,Clorophytum comosum 4,C. ovata 1,C. ovata 2,C. ovata 4,C. ovata 6,C. ovata 7,C. ovata 8,C. ovata 9,C. ovata 10,C. ovata 11,C. ovata 12,E. agavoides 'Aquamarine' 1,E. agavoides 'Aquamarine' 2,E. agavoides 'Aquamarine' 3,E. agavoides 'Aquamarine' 5,E. agavoides 'Aquamarine' 6,E. agavoides 'Aquamarine' 7,E. agavoides 'Aquamarine' 8,E. agavoides 'Aquamarine' 10,E. agavoides 'Aquamarine' 11,E. agavoides 'Aquamarine' 13,E. agavoides 'Aquamarine' 14,E. agavoides 'Aquamarine' 15,E. dionysos 1,E. dionysos 2,E. dionysos 3,E. dionysos 4,E. dionysos 5,E. dionysos 6,E. dionysos 7,E. dionysos 8,Epipremnum aureum 1,Epipremnum aureum 2,Epipremnum aureum 3,Epipremnum aureum 4,H. attenuata 1,H. attenuata 2,H. attenuata 3,H. attenuata 4,Hatiora salicornioides 2,Hatiora salicornioides 1,H. cymbiformis 1,H. cymbiformis 2,H. cymbiformis 3,H. cymbiformis 4,H. cymbiformis 5,H. cymbiformis 6,H. cymbiformis 7,H. cymbiformis 8,H. cymbiformis 9,H. cymbiformis 10,H. cymbiformis 11,H. cymbiformis 12,H. cymbiformis 13,H. cymbiformis 21,H. cymbiformis 22,H. cymbiformis 23,Hypoestes phyllostachya 1,Hypoestes phyllostachya 2,Hypoestes phyllostachya 3,Hypoestes phyllostachya 4,Lithops leslei 1,Philodendron hederaceum 1,Philodendron hederaceum 2,plant from mom 1
2022-05-29,    ,    ,    ,    ,    , 125,    ,1331, 217,    ,    ,    ,    ,    ,    ,    , 191, 220, 211, 213, 234, 233, 238, 239, 250, 240, 441, 216,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 244, 265, 240, 218, 230,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1213, 209,    ,    ,    , 854,    ,    
2022-05-30,    ,    ,    ,    ,    , 111,    ,1303, 206,    ,    ,    ,    ,    ,    ,    , 184, 212, 205, 205, 224, 221, 229, 222, 236, 233, 435, 209,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 232, 253, 233, 210, 222,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1174, 200,    ,    ,    , 837,    ,    
2022-05-31,    ,    ,    ,    ,    , 101,    ,1276, 200, 494,    ,    ,    ,    ,    ,    , 180, 207, 200, 200, 300, 213, 320, 214, 228, 228, 430, 199,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 225, 246, 228, 206, 218,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1156, 191,    ,    ,    , 826,    ,    
          ,    ,    ,    ,    ,    , 205,    ,1638, 334,    ,    ,    ,    ,    ,    ,    , 267, 304, 291,    , 322, 223, 310, 332, 330, 316, 592, 307,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 308, 337, 304, 277, 301,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1414, 249,    ,    ,    , 992,    ,    
2022-06-01,    ,    ,    ,    ,    , 189,    ,1599, 312, 490,    ,    ,    ,    ,    ,    , 249, 285, 274, 279, 303, 305, 294, 312, 316, 301, 549, 288,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 287, 315, 284, 257, 277,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1368, 238,    ,    ,    , 964,    ,    
2022-06-02,    ,    ,    ,    ,    , 171,    ,1568, 300, 487,    ,    ,    ,    ,    ,    , 240, 277, 265, 269, 295, 297, 286, 302, 309, 294, 526, 277,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 276, 305, 273, 246, 268,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1337, 230,    ,    ,    , 937,    ,    
2022-06-15, 266,    ,    ,    ,    ,  76,    ,1160, 163, 496,    ,    ,    ,    ,    ,    , 170, 186, 189, 169, 183, 178, 186, 184, 175, 190, 406, 162,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 172, 191, 184, 159, 178,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1242, 118,    ,    ,    , 873,    ,    
          , 300,    ,    ,    ,    , 204,    ,1583, 317,    ,    ,    ,    ,    ,    ,    , 284, 296, 316, 283, 306, 299, 291, 294, 276, 301, 587, 290,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 262, 288, 268, 238, 262,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1831, 259,    ,    ,    ,1200,    ,    
2022-06-17, 278,    ,    ,    ,    , 164,    ,1490, 292, 492,    ,    ,    ,    ,    ,    , 264, 276, 297, 261, 287, 277, 269, 272, 253, 281, 524, 262,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 234, 260, 240, 217, 235,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1715, 232,    ,    ,    ,1155,    ,    
2022-06-18, 267,    ,    ,    ,    , 135,    ,1443, 279, 489,    ,    ,    ,    ,    ,    , 243, 256, 288, 249, 268, 256, 258, 261, 242, 271, 496, 249,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 224, 249, 232, 208, 227,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1654, 214,    ,    ,    ,1121,    ,    
          ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 249, 243,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
2022-06-19,    ,    ,    ,    ,    , 111,    ,1382, 269, 486,    ,    ,    ,    ,    ,    , 238, 230, 268, 229, 251, 238, 241, 241, 224, 254, 478, 228,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 965,    ,    ,    ,    ,    ,    ,    ,    , 218, 242, 227, 202, 219,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1600, 198,    ,    , 223,1088,    ,    
2022-06-20,    ,    , 310, 296,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 295,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
          ,    ,    , 378, 357,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 362,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
2022-06-22, 268,    , 344, 295,    ,  89,3100,1285, 221, 479,    ,    ,    ,    ,    ,    , 218, 210, 225,    , 222, 220, 214, 213, 202, 224, 447,    ,    , 175, 154,    ,    ,    ,    ,    ,    , 959,1017,1009,    ,    ,    ,    ,    , 323,2069, 205, 230, 209, 185, 202,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1419, 140,    ,    , 187, 961,1292,    
          , 307,    ,    , 358,    , 166,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    , 267, 217,    ,    ,    ,    ,    ,    ,1002,1252,1136,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1719, 198,    ,    ,    ,1155,    ,    
2022-06-23, 291,    ,    ,    ,    ,    ,3000,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
2022-06-24, 279,    , 321, 300,    , 123,2900,1245, 203, 503,    , 337, 255,  34,  38,  46, 209, 201, 208, 187, 210, 211, 206, 203, 194, 211, 436, 186,    , 240, 193,    ,    ,    ,    ,    ,    , 966,1216,1031,    ,    ,    ,    ,    , 301,2046, 196, 222, 201, 177, 193, 240, 190, 162,    ,    ,    ,    ,1205,1276,1966,1544, 154,    ,    , 187,1111,1206,    
2022-06-25, 269,    , 313, 289,    , 107,2900,1221, 197, 499,    , 332, 252,  30,  36,  43, 204, 196, 200, 180, 205, 205, 201, 196, 189, 205, 431, 182,    , 227, 182,    ,    ,    ,    ,    ,    , 948,1194, 999,    ,    ,    ,    ,    , 294,2032, 190, 216, 195, 172, 187, 233, 172, 157, 199, 201, 195, 202,1169,1237,1922,1430, 138,    ,    , 178,1089,1157,    
          ,    ,    ,    ,    ,    , 217,    ,    , 323,    ,    , 389, 287,  47,  54,  56, 321, 318, 302, 270, 310, 307, 293, 293, 274, 295, 584, 295,    ,    , 183,    ,    ,    ,    ,    ,    ,    ,    ,1004,    ,    ,    ,    ,    ,    ,    , 262, 301, 272, 237, 256, 265, 197, 193, 300, 319, 315, 301,    ,    ,    ,    , 268,    ,    , 237,    ,    ,    
2022-06-26, 252,    , 304, 282,    , 185,2800,1191, 294, 497,    , 358, 273,  40,  47,  50, 278, 277, 280, 244, 285, 286, 273, 268, 244, 262, 535, 270,    , 205, 171,    ,    ,    ,    ,    ,    , 907,1154, 969,    ,    ,    ,    ,    , 285,2018, 245, 276, 244, 217, 234, 253, 181, 180, 277, 296, 290, 280,1131,1196,1879,1325, 247,    ,    , 204,1059,1099,    
          ,    ,    ,    ,    ,    ,    ,3400,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,2239,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1301,1437,2188,    ,    ,    ,    ,    ,    ,    ,    
