date,Clorophytum comosum 5,Echeveria agavoides 'Aquamarine' 9,Echeveria dionysos 1,Echeveria dionysos 21,Epipremnum aureum 21
2022-05-29, 642, 212,    ,    ,    
2022-05-30, 618, 203,    ,    ,    
2022-05-31, 604, 198,    ,    ,    
          , 973, 304,    ,    ,    
2022-06-01, 902, 282,    ,    ,    
2022-06-02, 845, 273,    ,    ,    
2022-06-15, 652, 166,    ,    ,    
          ,1157, 260,    ,    ,    
2022-06-17,1051, 239,    ,    ,    
2022-06-18, 970, 230,    ,    ,    
          ,    , 250,    ,    ,    
2022-06-19, 879, 238,    ,    ,    
2022-06-22, 768, 218,    ,    ,    
          ,1008,    ,    ,    ,    
2022-06-24, 908, 209,    , 220,    
2022-06-25, 833, 204, 262, 220,    
          ,1210, 291, 297,    ,    
2022-06-26,1068, 267, 275, 219, 196
2022-06-27, 944, 240, 262, 219, 197
          ,    ,    , 295,    ,    
2022-06-28, 893, 212, 272, 218, 203
2022-06-29, 876, 206, 263, 218, 184
2022-06-30, 855, 201, 259, 183, 176
2022-07-01,    , 197, 254, 160, 175
2022-07-02, 822, 195, 251, 145, 173
          ,    ,    , 291,    ,    
2022-07-03, 800, 191, 272, 139, 170
          ,    , 289,    , 140,    
2022-07-05, 775, 256, 258, 137, 168
          ,    ,    ,    , 139, 173
2022-07-06, 726, 240, 254, 147, 172
          ,1147,    , 289,    , 175
2022-07-07,1118,    , 275, 145,    
          ,    ,    , 307,    ,    
2022-07-09, 989, 226, 291,    ,    
2022-07-10,    ,    , 264,    ,    
          ,    ,    , 300,    ,    
2022-07-11,    ,    , 292,    ,    
2022-07-12,    ,    , 279,    ,    
